no	Hotel name	rating	user type	room type	nights	review
2	فندق 72	2	مسافر منفرد	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“ممتاز”. النظافة والطاقم متعاون. 
3	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	استثنائي. سهولة إنهاء المعاملة في الاستقبال. لاشيئ
16	فندق 72	5	زوج	-	أقمت ليلتين	استثنائي. انصح بأختيار الاسويت و بالاخص غرفه رقم 801. نوعية الارضيه
20	فندق 72	1	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“استغرب تقييم الفندق كخمس نجوم”. لا شي. يستحق 2 نجمه 
23	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	جيد. المكان جميل وهاديء. كل شي جيد ونظيف بس كان حوض السباحه لايعمل في هذي الفتره حسب كلامهم يقولوا فيه صيانه والله اعلم
24	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	ممتاز. موقع الفندق ونظافته والاطلاله على البحر وجزيرة  النور التي تحتوي على الفراشات وكذلك قربه من المسجد والممشى  توفر المواقف بجانب الفندق وخدمة صف السيارات. المسبح كان مغلق للصيانه  المواقف تحتاج الى مظلات
25	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“جيدجداً”. الافطار جيد والسرير ممتاز ومريح واطلالة الغرفة رائعه. فرش ارضية الغرفه
26	فندق 72	5	مسافر منفرد	-	أقمت ليلتين	“فندق ممتاز”. الاثاث، النظافه. 
27	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“الراحة و الهدوء”. مكان مناسب ومريح  انصح به خاصة لموقعه على الكورنيش وخدماته الممتازة. لا شيء
28	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	استثنائي. المكان روعه تحديدا الغرف المطله على واحة النخيل (الكورنيش). مخداتهم ما ذاك الزووود !.!
32	فندق 72	5	أسرة	-	أقمت 3 ليالي	“إقامتي في فندق 72 الشارقة”. موقع الفندق ممتاز السعر مقابل الخدمات ممتاز. 
